p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,84.36775166,1480.5565757751465
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.07056633,2986.5559797286987
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,7.31286266,3158.5559458732605
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,3.23375,3268.556197166443
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,12.418962,3516.5566716194153
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,0.804862,3588.555496454239
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,31.789462,4128.555856704712
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.27555366,4194.853618860245
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA, , ,num_threads(#P12),collapse(2),NA,NA,176,0.409043,4260.556028604507
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,4,72,0.78314666,4332.853324174881
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,2,72,7.244218,4502.555674791336
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,1,16,17.60567133,4834.555877685547
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,2,64,0.43566066,4902.685545921326
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,16,176,12.938856,6764.555379152298
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,8,22.58381866,7272.554172515869
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,4,176,12.47521633,7538.979382991791
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,"schedule(#P10, #P11)", ,collapse(2),dynamic,1,NA,12.14411,7802.554675102234
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,8,72,3.966105,7932.5556972026825
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , ,num_threads(#P12), ,NA,4,72,7.277149,8102.554637432098
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, , ,num_threads(#P12),collapse(2),NA,1,72,22.565238,8634.5554292202
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,2.44936733,8788.555426359177
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,"schedule(#P10, #P11)", ,collapse(2),dynamic,8,NA,3.45083433,8898.555398464203
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,16,9.46010333,9206.683274507523
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10), ,collapse(2),dynamic,8,NA,1.76184633,9422.641273498535
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,"schedule(#P10, #P11)", ,collapse(2),dynamic,16,NA,5.96149266,9576.55492734909
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.282042,9642.55564713478
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10), , ,dynamic,NA,NA,3.878246,9762.555222272873
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.34973133,12296.555457830429
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.43734233,13508.555735349655
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.44368733,13762.555824279785
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.24000966,13860.555606603622
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10), ,collapse(2),static,NA,NA,0.26894366,14074.55557346344
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(E, A, B, F, C, D, G)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.34624066,14194.555630207062
